lambda_nm,sum,cx_mm,cy_mm,r_centroid_mm,rms_radius_mm,ee50_mm
430.0,1.0,-0.00014628450890086242,-8.792085284031119e-10,0.00014628450890350457,0.011102197143486897,0.009743450113317526
440.0,1.0,-0.00012054527016349716,-1.6375086175211313e-09,0.00012054527017461927,0.009509429830193324,0.004505463276413668
450.0,1.0,-9.650352467360877e-05,-9.208861231213431e-10,9.650352467800255e-05,0.008090343925704964,0.004488175098525413
460.0,1.0,-7.40061547730873e-05,9.506948118401525e-10,7.400615477919369e-05,0.006857106626099551,0.00447205315670939
470.0,1.0,-5.2920057285632755e-05,-8.420869335195072e-10,5.292005729233258e-05,0.0058516491486254475,0.004456994012499421
480.0,1.0,-3.314190107630579e-05,-2.0554580264133936e-10,3.3141901076943183e-05,0.005124674345427814,0.004442913906736506
490.0,1.0000001192092896,-1.4553753992377507e-05,-2.5588630383352083e-09,1.455375421732909e-05,0.004648859120191645,0.004429718589404996
500.0,0.9999998807907104,2.9269592083824938e-06,1.3733371742315746e-11,2.9269592084147123e-06,0.004438821183517411,0.004421487529814941
510.0,1.0,1.9398564472794576e-05,-4.1909515864201746e-10,1.9398564477321733e-05,0.0044193749070233854,0.004405722176408036
520.0,1.0,3.4925144973385397e-05,-3.327158992760656e-10,3.4925144974970216e-05,0.004422965794345291,0.004394791199720668
530.0,1.0,4.95899439556522e-05,-2.182787282950597e-10,4.9589943956132595e-05,0.004722249287460992,0.004454620628967449
540.0,1.0,6.344368914597016e-05,9.782297638824566e-10,6.344368915351176e-05,0.0053455571986334,0.004464503560858665
550.0,1.0,7.65513270380323e-05,4.803951013300934e-10,7.655132703953965e-05,0.006091752642951341,0.004473874483843935
560.0,1.0,8.89616872882474e-05,-1.2543750926472755e-09,8.896168729709085e-05,0.006796720224303685,0.004482763309334318
570.0,1.0,0.00010073100856970935,-7.450580598712762e-10,0.00010073100857246477,0.007435779522956018,0.004491210326433353
580.0,1.0,0.00011189563272751002,2.542748234256144e-09,0.0001118956327564011,0.008014323184329026,0.00977602739494999
590.0,1.0,0.0001225022611947681,-1.2558075467095637e-09,0.00012250226120120493,0.008623133560258546,0.009765979073057382
600.0,1.0,0.00013258282224342137,-2.790238795659291e-09,0.000132582822272782,0.009254090887790497,0.009840992493075231
610.0,1.0,0.0001421662396751339,-7.275957613912375e-10,0.0001421662396769958,0.009864371155844947,0.009838084600129936
620.0,0.9999998807907104,0.00015129580507903617,-1.8470862930410814e-09,0.0001512958050903112,0.01044269384407489,0.009835322885994235
630.0,0.9999999403953552,0.0001599920202104273,1.168120958406584e-09,0.0001599920202146916,0.010986730935169761,0.009933870125514005
640.0,1.0,0.00016828326461109083,-1.3522367225797267e-09,0.00016828326461652376,0.011497262880831659,0.009936617382963272
650.0,1.0,0.00017620039573529398,-8.179696919796697e-10,0.0001762003957371926,0.011984446741538078,0.010049430276746247
660.0,1.0,0.00018375915949491155,-2.501678864076019e-09,0.00018375915951194036,0.012465704263521275,0.01005661559893422
