x_off_mm,sum,cx_mm,cy_mm,r_centroid_mm,rms_radius_mm,ee50_mm
-35.0,1.0,0.94975577240455,1.2074472973990637e-09,0.94975577240455,0.03951769972547096,0.03539491809980008
-33.0,1.0,0.895494362158636,2.6391624882900956e-09,0.895494362158636,0.0395198423510631,0.034586963677768465
-31.0,1.0,0.8412310395506132,-4.087183927409046e-10,0.8412310395506132,0.039522560408962557,0.034397571487695726
-29.0,1.0,0.7869660833021179,2.709323609821491e-09,0.7869660833021179,0.03953115391942712,0.03511565880431508
-27.0,0.9999999403953552,0.7326994571521477,2.3712290431997676e-09,0.7326994571521477,0.039533877933844726,0.034678035126212724
-25.0,1.0,0.6784314166513185,7.300556601106908e-10,0.6784314166513185,0.03953366909356182,0.03466476529045839
-23.0,1.0,0.6241618961454181,6.649310080204076e-09,0.6241618961454181,0.039542152472155465,0.03497270414685654
-21.0,1.0000001192092896,0.5698911956179797,1.4882344245618132e-09,0.5698911956179797,0.03954483448126839,0.034736742202124894
-19.0,0.9999999403953552,0.5156193786280898,3.6846702110753515e-09,0.5156193786280898,0.039541775446684205,0.03493353268293239
-17.0,1.0,0.4613464824394136,-7.960615279747594e-10,0.4613464824394136,0.039550375243009764,0.034727171712535206
-15.0,1.0,0.4070726084284093,3.8574924586089865e-09,0.4070726084284093,0.03955303132367969,0.034984797294870626
-13.0,1.0,0.35279787208178276,2.5331004846593144e-09,0.35279787208178276,0.039550208840622415,0.03464627777448704
-11.0,1.0,0.29852247306167734,-1.8495134313941583e-09,0.29852247306167734,0.039555898650834385,0.03468174955309984
-9.0,1.0,0.2442464857445238,-2.714835289861403e-09,0.24424648574452382,0.03955880089371693,0.035151732564062205
-7.0,1.0,0.18996996767163205,3.4286095741805085e-09,0.18996996767163207,0.039555613956143834,0.03438123698522656
-5.0,1.0,0.13569314696340484,2.487450955764428e-09,0.13569314696340487,0.03955834888589602,0.03455062962705173
-3.0,1.0,0.08141600486879455,2.5851797151890468e-09,0.08141600486879459,0.0395616412179185,0.03547035275289387
-1.0,1.0,0.02713865684958705,1.1344496897963184e-09,0.027138656849587075,0.039558322362180535,0.034389146831768774
1.0,1.0,-0.027138652566770817,-9.16753606482325e-10,0.02713865256677083,0.03955832061823287,0.0343891471722145
3.0,1.0,-0.08141600652280873,-2.0983108621407952e-10,0.08141600652280873,0.03956163671794503,0.035470351785514935
5.0,1.0,-0.13569314558652223,1.2466003343151587e-09,0.13569314558652223,0.03955834702978227,0.03455062983739348
7.0,0.9999999403953552,-0.18996997827968093,-2.5031054290429654e-10,0.18996997827968093,0.0395556166462206,0.03438123996084551
9.0,1.0,-0.2442464848866429,2.9289367370799895e-09,0.24424648488664294,0.03955880591790657,0.03515173333376905
11.0,0.9999998807907104,-0.29852247385158037,-4.070330869016157e-09,0.29852247385158037,0.03955590491585091,0.03468174724709896
13.0,1.0,-0.35279786919424794,-3.308100815873766e-09,0.35279786919424794,0.03955020658641666,0.034646274847758556
15.0,1.0000001192092896,-0.4070725873249634,1.2571432168997458e-09,0.4070725873249634,0.03955303017372702,0.03498481539008012
17.0,1.0,-0.4613464756650907,4.250097159550338e-10,0.4613464756650907,0.039550372637005365,0.034727166684865085
19.0,1.0000001192092896,-0.5156193321835637,-1.3995999136710243e-09,0.5156193321835637,0.03954176463432516,0.03493349216524708
21.0,1.0,-0.5698912686779852,7.479843409534684e-10,0.5698912686779852,0.03954482842275717,0.03473668591466908
23.0,1.0,-0.6241619005397127,-2.061545955822576e-09,0.6241619005397127,0.03954215071463702,0.03497271044502466
25.0,1.0,-0.6784314173084305,6.965995425086548e-09,0.6784314173084305,0.03953364694695398,0.0346647618930622
27.0,0.9999998807907104,-0.7326995098990071,1.0672374479042293e-09,0.7326995098990071,0.039533877838632984,0.034678043376804586
29.0,1.0,-0.7869660772767596,4.075635473748746e-09,0.7869660772767596,0.03953115553469284,0.03511565263288529
31.0,1.0,-0.8412310665038545,-3.3431714284712363e-09,0.8412310665038545,0.03952256580487523,0.034397546142742465
33.0,0.9999999403953552,-0.8954944681671995,-6.21419397255411e-10,0.8954944681671995,0.0395198486765723,0.03458690361851659
35.0,0.9999999403953552,-0.9497557307974009,-8.260118418844747e-10,0.9497557307974009,0.0395176912909764,0.03539487807970145
