lambda_nm,sum,cx_mm,cy_mm,r_centroid_mm,rms_radius_mm,ee50_mm
430.0,1.0,0.0005977766318835606,1.982694186653504e-09,0.0005977766318868487,0.04016132003508446,0.03516054234651465
440.0,1.0,0.0005983748991347689,2.4450493182999588e-09,0.0005983748991397643,0.040201222333687,0.035266276570524856
450.0,1.0,0.0005988742644818176,5.834710718200433e-10,0.0005988742644821019,0.04023199297179655,0.035265976783485406
460.0,0.9999999403953552,0.00059922678789033,7.857670449587784e-09,0.0005992267879418489,0.040255463858211916,0.0352657583043272
470.0,1.0,0.0005994976592873531,1.4368620068870038e-09,0.000599497659289075,0.040272094236126495,0.03526560000944523
480.0,1.0,0.0005996744647584155,-5.6856611860666455e-09,0.0005996744647853691,0.0402830894484407,0.0352654899556506
490.0,1.0,0.0005998076731657444,1.057561860396352e-09,0.0005998076731666768,0.040290433044625755,0.035265413283498234
500.0,1.0,0.0005998575323856083,2.875801108252503e-09,0.0005998575323925018,0.040293517168397595,0.03526538175397348
510.0,1.0,0.0005998751132064925,1.974999008906114e-09,0.0005998751132097437,0.04029387149184532,0.03526537186610926
520.0,1.0,0.0005998412041417801,1.1062724069126864e-09,0.0005998412041428003,0.04029102654869716,0.03526539301583299
530.0,1.0,0.0005997747960696728,6.402435917230482e-10,0.0005997747960700146,0.04028593651855734,0.035265433450678736
540.0,1.0,0.0005996809260739849,1.2768836652488684e-09,0.0005996809260753442,0.040278952644543606,0.03526548957369876
550.0,1.0,0.0005995757725715915,-5.435149352507485e-09,0.0005995757725962263,0.040270714100854345,0.035265549695558784
560.0,1.0000001192092896,0.0005994379829672861,-2.9613577389158397e-09,0.000599437982974601,0.04026063240859484,0.03526563479599143
570.0,1.0,0.0005992926395236992,-3.621842381523214e-09,0.0005992926395346435,0.040250391145474296,0.03526572195432846
580.0,1.0,0.000599119961069405,-3.0179361228490666e-09,0.0005991199610770061,0.040238695380687105,0.035265826612629794
590.0,0.9999999403953552,0.0005989571835791944,4.67436535139054e-09,0.0005989571835974341,0.040226250564352986,0.03526592349553804
600.0,1.0,0.0005987566809089618,4.972322642288279e-09,0.0005987566809296079,0.0402130338945762,0.03526604422216988
610.0,1.0,0.000598568042144974,-2.8630644541386845e-10,0.0005985680421450425,0.040199642758083604,0.03526616176666377
620.0,1.0,0.0005983769339778181,1.6903694447259924e-09,0.0005983769339802057,0.04018602863966621,0.035266275944736615
630.0,1.0,0.0005981701105368456,-3.3479789165949036e-09,0.000598170110546215,0.040172359274073186,0.0352663994025666
640.0,1.0,0.0005979687892708092,-1.1151424668010808e-09,0.0005979687892718491,0.040157820695889586,0.035266522644224245
650.0,1.0,0.000597768145331478,-1.119856030344856e-09,0.000597768145332527,0.04014449827339851,0.035160548453833596
660.0,1.0,0.0005975569010168141,3.791671687160173e-09,0.0005975569010288437,0.04013017556890981,0.03516071549973646
